year,adm_1,best
#date+year,#adm1+name,#affected+killed
2020,Tigray state,200
2020,Tigray state,3
2020,Tigray state,2
2020,Amhara state,1
2020,Tigray state,3
2020,Tigray state,132
2020,Tigray state,25
2020,Tigray state,760
2020,Tigray state,50
2020,Amhara state,5
2020,Tigray state,1
2020,Amhara state,3
2020,,6
2020,Tigray state,46
2020,Tigray state,2
2020,Tigray state,2
2020,Amhara state,2
2020,Tigray state,2
2020,Tigray state,11
2020,Tigray state,15
2020,Tigray state,21
2020,Tigray state,7
2020,Tigray state,14
2020,Tigray state,2
2020,Tigray state,1
2020,Tigray state,3
2020,Tigray state,10
2020,Tigray state,14
2020,Tigray state,1
2020,Tigray state,3
2020,Tigray state,15
2020,Tigray state,12
2020,Tigray state,9
2020,Tigray state,3
2020,Tigray state,22
2020,Tigray state,5
2020,Tigray state,2
2020,Tigray state,29
2020,Tigray state,1
2020,Tigray state,10
2020,Tigray state,86
2020,Tigray state,18
2020,Tigray state,6
2020,Tigray state,21
2020,Tigray state,6
2021,Tigray state,15
2021,Tigray state,502
2021,Tigray state,0
2021,Tigray state,1
2021,Tigray state,700
2021,Tigray state,2
2021,Tigray state,1
2021,Tigray state,1
2021,Tigray state,6
2021,Tigray state,1
2021,Tigray state,1
2021,Tigray state,1
2021,Tigray state,3
2021,Tigray state,200
2021,Tigray state,1
2021,Tigray state,59
2021,Tigray state,1
2021,Tigray state,1
2021,Tigray state,1
2021,Tigray state,1
2021,Tigray state,1
2021,Tigray state,1
2021,Tigray state,2
2021,Tigray state,1
2021,Tigray state,110
2021,Tigray state,1
2021,Tigray state,1
2021,Tigray state,9
2021,Tigray state,9
2021,Tigray state,1
2021,Tigray state,1
2021,Tigray state,1
2021,Tigray state,5
2021,Tigray state,80
2021,Tigray state,1
2021,Tigray state,1
2021,Tigray state,6
2021,Tigray state,1
2021,Amhara state,1
2021,Tigray state,1
2021,Tigray state,2
2021,Tigray state,1
2021,Tigray state,30
2021,Tigray state,2
2021,Tigray state,1
2021,Tigray state,1
2021,Tigray state,1
2021,Tigray state,1
2021,Tigray state,3
2021,Tigray state,3
2021,Tigray state,3
2021,Tigray state,3
2021,Tigray state,1
2021,Tigray state,1
2021,Tigray state,10
2021,Tigray state,1
2021,Tigray state,1
2021,Tigray state,1
2021,Tigray state,1
2021,Tigray state,1
2021,Tigray state,1
